Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,1.750000,1.770000,1.660000,1.710000,1.710000,458172
2018-04-24,1.750000,1.900000,1.711000,1.790000,1.790000,955737
2018-04-25,1.830000,1.850000,1.700000,1.730000,1.730000,432795
2018-04-26,1.790000,2.060000,1.770000,1.990000,1.990000,1463187
2018-04-27,2.030000,2.100000,1.850000,1.880000,1.880000,892960
2018-04-30,1.900000,1.980000,1.810000,1.840000,1.840000,427495
2018-05-01,1.840000,1.920000,1.810000,1.910000,1.910000,185772
2018-05-02,1.900000,1.929000,1.850000,1.860000,1.860000,268717
2018-05-03,1.860000,1.870000,1.780000,1.850000,1.850000,294623
2018-05-04,1.840000,1.950000,1.810000,1.880000,1.880000,320591
2018-05-07,1.900000,1.910000,1.840000,1.850000,1.850000,168934
2018-05-08,1.860000,1.950000,1.800000,1.860000,1.860000,198101
2018-05-09,1.850000,1.900000,1.810000,1.840000,1.840000,143916
2018-05-10,1.860000,1.869400,1.820100,1.840000,1.840000,147646
2018-05-11,1.840000,1.890000,1.794400,1.860000,1.860000,217194
2018-05-14,1.880000,2.280000,1.880000,2.090400,2.090400,1322729
2018-05-15,2.100000,2.150000,1.900000,1.950000,1.950000,425177
2018-05-16,1.850000,1.920000,1.760000,1.850000,1.850000,1106733
2018-05-17,1.860000,1.920000,1.820000,1.830000,1.830000,238997
2018-05-18,1.850000,1.850000,1.750000,1.770000,1.770000,384478
2018-05-21,1.780000,1.830000,1.720000,1.720000,1.720000,246428
2018-05-22,1.860000,1.860000,1.730000,1.760000,1.760000,384704
2018-05-23,1.750000,1.790000,1.730000,1.730000,1.730000,170578
2018-05-24,1.740000,1.750000,1.700000,1.730000,1.730000,187013
2018-05-25,1.790000,1.790000,1.750000,1.770000,1.770000,228545
2018-05-29,1.760000,1.830000,1.720000,1.720000,1.720000,497548
2018-05-30,1.740000,1.800000,1.720000,1.790000,1.790000,130272
2018-05-31,1.780000,1.850000,1.750000,1.790000,1.790000,471288
2018-06-01,1.830000,1.840000,1.700000,1.760000,1.760000,277683
2018-06-04,1.740000,1.770000,1.700000,1.720000,1.720000,234396
2018-06-05,1.730000,1.744700,1.700000,1.710000,1.710000,135112
2018-06-06,1.720000,1.780000,1.710000,1.720000,1.720000,192607
2018-06-07,1.740000,1.750000,1.720000,1.740000,1.740000,161157
2018-06-08,1.740000,1.740000,1.710000,1.710000,1.710000,124353
2018-06-11,1.710000,1.740000,1.700000,1.700000,1.700000,198193
2018-06-12,1.720000,1.733200,1.700000,1.710000,1.710000,163197
2018-06-13,1.710000,1.720000,1.700000,1.700000,1.700000,123823
2018-06-14,1.710000,1.740000,1.560000,1.720000,1.720000,460217
2018-06-15,1.720000,1.890000,1.700000,1.890000,1.890000,408884
2018-06-18,1.840000,2.100000,1.840000,2.000000,2.000000,483311
2018-06-19,2.020000,2.110000,1.890100,2.080000,2.080000,486465
2018-06-20,2.150000,2.580000,2.100000,2.500000,2.500000,1146239
2018-06-21,2.520000,2.526700,2.060000,2.110000,2.110000,1054882
2018-06-22,2.110000,2.170000,2.020100,2.170000,2.170000,320161
2018-06-25,2.200000,2.200000,2.000000,2.010000,2.010000,295288
2018-06-26,2.030000,2.077500,1.920000,1.940000,1.940000,294492
2018-06-27,1.930000,1.930000,1.760000,1.790000,1.790000,564946
2018-06-28,1.810000,1.830000,1.721000,1.810000,1.810000,344863
2018-06-29,1.830000,1.900000,1.800100,1.870000,1.870000,212286
2018-07-02,1.870000,1.890000,1.770000,1.790000,1.790000,138478
2018-07-03,1.840000,1.840000,1.770000,1.810000,1.810000,79650
2018-07-05,1.810000,2.090000,1.810000,2.060000,2.060000,556570
2018-07-06,2.060000,2.290000,2.000900,2.030000,2.030000,383645
2018-07-09,2.060000,2.100000,1.940000,2.040000,2.040000,277631
2018-07-10,2.180000,2.180000,1.970000,1.980000,1.980000,226875
2018-07-11,1.980000,2.050000,1.980000,2.000000,2.000000,110144
2018-07-12,2.000000,2.040000,1.900000,1.940000,1.940000,128341
2018-07-13,1.940000,1.980000,1.890000,1.960000,1.960000,202949
2018-07-16,1.950000,2.010000,1.870000,1.940000,1.940000,199383
2018-07-17,1.930000,2.030000,1.910000,1.950000,1.950000,147379
2018-07-18,1.960000,2.010000,1.920000,2.010000,2.010000,149877
2018-07-19,2.030000,2.074000,1.970000,1.990000,1.990000,179087
2018-07-20,1.970000,2.410000,1.970000,2.280000,2.280000,962265
2018-07-23,2.350000,2.409000,2.200000,2.300000,2.300000,362833
2018-07-24,2.360000,2.360000,2.120000,2.160000,2.160000,203496
2018-07-25,2.160000,2.288300,2.100000,2.210000,2.210000,189458
2018-07-26,2.200000,2.261300,2.140000,2.225000,2.225000,159404
2018-07-27,2.240000,2.240000,2.100000,2.150000,2.150000,156626
2018-07-30,2.160000,2.224500,2.080000,2.100000,2.100000,128093
2018-07-31,2.090000,2.130000,1.990000,2.030000,2.030000,223037
2018-08-01,1.990000,2.135000,1.980000,2.030000,2.030000,335449
2018-08-02,2.000000,2.030000,1.900000,1.970000,1.970000,438910
2018-08-03,1.970000,2.010000,1.860000,1.890000,1.890000,373514
2018-08-06,1.910000,1.920000,1.791000,1.820000,1.820000,199522
2018-08-07,1.750000,1.829900,1.750000,1.780000,1.780000,297004
2018-08-08,1.770000,1.849000,1.760000,1.800000,1.800000,129608
2018-08-09,1.820000,1.879700,1.781000,1.850000,1.850000,129188
2018-08-10,1.880000,1.880000,1.710000,1.800000,1.800000,268991
2018-08-13,1.890000,2.000000,1.710000,1.720000,1.720000,933247
2018-08-14,1.750000,1.990000,1.750000,1.910000,1.910000,785295
2018-08-15,1.900000,1.938500,1.780000,1.860000,1.860000,246027
2018-08-16,1.860000,1.880000,1.760000,1.780000,1.780000,307542
2018-08-17,1.880000,1.880000,1.650000,1.660000,1.660000,578387
2018-08-20,1.700000,1.709900,1.410000,1.540000,1.540000,943694
2018-08-21,1.530000,1.620000,1.500000,1.585000,1.585000,357357
2018-08-22,1.330000,1.430000,1.300000,1.320000,1.320000,2881974
2018-08-23,1.380000,1.380000,1.300000,1.330000,1.330000,685230
2018-08-24,1.360000,1.386200,1.310000,1.320000,1.320000,430975
2018-08-27,1.380000,1.540000,1.330000,1.470000,1.470000,1324339
2018-08-28,1.500000,1.580000,1.380000,1.420000,1.420000,1411514
2018-08-29,1.420000,1.590000,1.420000,1.520000,1.520000,1259354
2018-08-30,1.500000,1.540000,1.468300,1.505000,1.505000,387485
2018-08-31,1.520000,1.540000,1.480000,1.480000,1.480000,643601
2018-09-04,1.580000,1.790000,1.530000,1.650000,1.650000,1580540
2018-09-05,1.830000,2.400000,1.500000,1.950000,1.950000,7100962
2018-09-06,2.400000,2.450000,1.950000,2.040000,2.040000,17768177
2018-09-07,2.010000,2.018800,1.610000,1.700000,1.700000,4335269
2018-09-10,1.710000,1.870000,1.680000,1.830000,1.830000,1968581
2018-09-11,1.860000,1.860000,1.650000,1.700000,1.700000,1612459
2018-09-12,1.690000,1.710000,1.610000,1.670000,1.670000,825441
2018-09-13,1.670000,1.690000,1.550000,1.570000,1.570000,1135172
2018-09-14,1.590000,1.650000,1.530000,1.590000,1.590000,672575
2018-09-17,2.050000,2.350000,1.690000,2.300000,2.300000,16832896
2018-09-18,2.500000,3.030000,2.241000,2.820000,2.820000,50984031
2018-09-19,3.350000,4.940000,3.040000,4.370000,4.370000,86804685
2018-09-20,5.680000,7.850000,5.270000,7.850000,7.850000,129919612
2018-09-21,8.920000,9.990000,5.710000,6.150000,6.150000,103997223
2018-09-24,4.400000,5.260000,3.610000,3.960000,3.960000,43658996
2018-09-25,4.810000,5.190000,4.260000,4.460000,4.460000,29839589
