Date,Open,High,Low,Close,Adj Close,Volume
2013-10-11,338800.000000,340800.000000,313600.000000,324600.000000,324600.000000,800
2013-10-14,349700.000000,361200.000000,322700.000000,331200.000000,331200.000000,1200
2013-10-15,338200.000000,376900.000000,325100.000000,371800.000000,371800.000000,1400
2013-10-16,337900.000000,347500.000000,287800.000000,288700.000000,288700.000000,1400
2013-10-17,294600.000000,295300.000000,256100.000000,257100.000000,257100.000000,1100
2013-10-18,247200.000000,259500.000000,240400.000000,250600.000000,250600.000000,900
2013-10-21,239300.000000,257600.000000,238700.000000,253200.000000,253200.000000,900
2013-10-22,243200.000000,258100.000000,241500.000000,255400.000000,255400.000000,800
2013-10-23,261200.000000,274000.000000,257900.000000,258000.000000,258000.000000,900
2013-10-24,255200.000000,259500.000000,248200.000000,250500.000000,250500.000000,600
2013-10-25,249800.000000,256700.000000,248400.000000,249400.000000,249400.000000,500
2013-10-28,251700.000000,256800.000000,249400.000000,251600.000000,251600.000000,500
2013-10-29,250700.000000,255900.000000,247400.000000,248500.000000,248500.000000,600
2013-10-30,249100.000000,262500.000000,247600.000000,254000.000000,254000.000000,800
2013-10-31,253700.000000,257500.000000,244100.000000,251900.000000,251900.000000,800
2013-11-01,248200.000000,255100.000000,244800.000000,248900.000000,248900.000000,600
2013-11-04,245200.000000,248500.000000,235500.000000,236300.000000,236300.000000,700
2013-11-05,239000.000000,242000.000000,232500.000000,234200.000000,234200.000000,900
2013-11-06,229300.000000,236200.000000,226600.000000,227200.000000,227200.000000,800
2013-11-07,225100.000000,245700.000000,224700.000000,243500.000000,243500.000000,1300
2013-11-08,237900.000000,238800.000000,222600.000000,222800.000000,222800.000000,1400
2013-11-11,223100.000000,226000.000000,220500.000000,220700.000000,220700.000000,900
2013-11-12,222000.000000,224500.000000,218000.000000,219800.000000,219800.000000,1400
2013-11-13,226500.000000,226900.000000,217000.000000,217800.000000,217800.000000,1200
2013-11-14,217500.000000,219200.000000,212700.000000,213000.000000,213000.000000,1000
2013-11-15,210800.000000,211500.000000,207600.000000,208300.000000,208300.000000,900
2013-11-18,201700.000000,210000.000000,197700.000000,208100.000000,208100.000000,1200
2013-11-19,206300.000000,218000.000000,203800.000000,212700.000000,212700.000000,1400
2013-11-20,217600.000000,218300.000000,197800.000000,204000.000000,204000.000000,1500
2013-11-21,199500.000000,200400.000000,187500.000000,191000.000000,191000.000000,1000
2013-11-22,188600.000000,190600.000000,184800.000000,184900.000000,184900.000000,700
2013-11-25,181300.000000,188300.000000,181100.000000,186300.000000,186300.000000,600
2013-11-26,186100.000000,189500.000000,183600.000000,188300.000000,188300.000000,500
2013-11-27,186500.000000,189900.000000,186200.000000,188400.000000,188400.000000,500
2013-11-29,187100.000000,193700.000000,186700.000000,193200.000000,193200.000000,300
2013-12-02,191700.000000,199100.000000,191400.000000,196100.000000,196100.000000,800
2013-12-03,204100.000000,216100.000000,200400.000000,205800.000000,205800.000000,1300
2013-12-04,214300.000000,220100.000000,201000.000000,201900.000000,201900.000000,1400
2013-12-05,199000.000000,208500.000000,198300.000000,204200.000000,204200.000000,1100
2013-12-06,195100.000000,196500.000000,187700.000000,189600.000000,189600.000000,1100
2013-12-09,187200.000000,190600.000000,185200.000000,187500.000000,187500.000000,700
2013-12-10,189400.000000,191200.000000,186700.000000,189000.000000,189000.000000,800
2013-12-11,187800.000000,208300.000000,187500.000000,206300.000000,206300.000000,1300
2013-12-12,204600.000000,217000.000000,201800.000000,208700.000000,208700.000000,1300
2013-12-13,207800.000000,212800.000000,205600.000000,209500.000000,209500.000000,800
2013-12-16,204400.000000,212300.000000,202500.000000,209700.000000,209700.000000,900
2013-12-17,215100.000000,220600.000000,204700.000000,207800.000000,207800.000000,1200
2013-12-18,204000.000000,210800.000000,177700.000000,177900.000000,177900.000000,1600
