,Date,Company_Name,close
0,01/01/14,Tesla,
1,01/02/14,Tesla,150.1
2,01/03/14,Tesla,149.56
3,01/04/14,Tesla,
4,01/05/14,Tesla,
5,01/06/14,Tesla,147.0
6,01/07/14,Tesla,149.36
7,01/08/14,Tesla,151.28
8,01/09/14,Tesla,147.53
9,01/10/14,Tesla,145.7199
10,01/11/14,Tesla,
11,01/12/14,Tesla,
12,01/13/14,Tesla,139.34
13,01/14/14,Tesla,161.27
14,01/15/14,Tesla,164.13
15,01/16/14,Tesla,170.97
16,01/17/14,Tesla,170.01
17,01/18/14,Tesla,
18,01/19/14,Tesla,
19,01/20/14,Tesla,
20,01/21/14,Tesla,176.68
21,01/22/14,Tesla,178.56
22,01/23/14,Tesla,181.5
23,01/24/14,Tesla,174.6
24,01/25/14,Tesla,
25,01/26/14,Tesla,
26,01/27/14,Tesla,169.62
27,01/28/14,Tesla,178.38
28,01/29/14,Tesla,175.23
29,01/30/14,Tesla,182.84
30,01/31/14,Tesla,181.41
31,02/01/14,Tesla,
32,02/02/14,Tesla,
33,02/03/14,Tesla,177.11
34,02/04/14,Tesla,178.73
35,02/05/14,Tesla,174.42
36,02/06/14,Tesla,178.38
37,02/07/14,Tesla,186.53
38,02/08/14,Tesla,
39,02/09/14,Tesla,
40,02/10/14,Tesla,196.56
41,02/11/14,Tesla,196.62
42,02/12/14,Tesla,195.32
43,02/13/14,Tesla,199.63
44,02/14/14,Tesla,198.23
45,02/15/14,Tesla,
46,02/16/14,Tesla,
47,02/17/14,Tesla,
48,02/18/14,Tesla,203.7
49,02/19/14,Tesla,193.64
50,02/20/14,Tesla,209.97
51,02/21/14,Tesla,209.6
52,02/22/14,Tesla,
53,02/23/14,Tesla,
54,02/24/14,Tesla,217.65
55,02/25/14,Tesla,248.0
56,02/26/14,Tesla,253.0
57,02/27/14,Tesla,252.54
58,02/28/14,Tesla,244.81
59,03/01/14,Tesla,
60,03/02/14,Tesla,
61,03/03/14,Tesla,250.56
62,03/04/14,Tesla,254.84
63,03/05/14,Tesla,252.66
64,03/06/14,Tesla,252.94
65,03/07/14,Tesla,246.21
66,03/08/14,Tesla,
67,03/09/14,Tesla,
68,03/10/14,Tesla,238.84
69,03/11/14,Tesla,234.41
70,03/12/14,Tesla,241.49
71,03/13/14,Tesla,237.79
72,03/14/14,Tesla,230.97
73,03/15/14,Tesla,
74,03/16/14,Tesla,
75,03/17/14,Tesla,233.98
76,03/18/14,Tesla,240.04
77,03/19/14,Tesla,235.84
78,03/20/14,Tesla,234.91
79,03/21/14,Tesla,228.89
80,03/22/14,Tesla,
81,03/23/14,Tesla,
82,03/24/14,Tesla,220.17
83,03/25/14,Tesla,220.44
84,03/26/14,Tesla,212.96
85,03/27/14,Tesla,207.32
86,03/28/14,Tesla,212.37
87,03/29/14,Tesla,
88,03/30/14,Tesla,
89,03/31/14,Tesla,208.45
90,04/01/14,Tesla,216.97
91,04/02/14,Tesla,230.29
92,04/03/14,Tesla,225.4
93,04/04/14,Tesla,212.225
94,04/05/14,Tesla,
95,04/06/14,Tesla,
96,04/07/14,Tesla,207.52
97,04/08/14,Tesla,215.46
98,04/09/14,Tesla,216.93
99,04/10/14,Tesla,204.19
100,04/11/14,Tesla,203.78
101,04/12/14,Tesla,
102,04/13/14,Tesla,
103,04/14/14,Tesla,198.09
104,04/15/14,Tesla,193.91
105,04/16/14,Tesla,199.11
106,04/17/14,Tesla,198.12
107,04/18/14,Tesla,
108,04/19/14,Tesla,
109,04/20/14,Tesla,
110,04/21/14,Tesla,204.38
111,04/22/14,Tesla,218.64
112,04/23/14,Tesla,207.99
113,04/24/14,Tesla,207.86
114,04/25/14,Tesla,199.85
115,04/26/14,Tesla,
116,04/27/14,Tesla,
117,04/28/14,Tesla,198.51
118,04/29/14,Tesla,206.92
119,04/30/14,Tesla,207.89
120,05/01/14,Tesla,207.73
121,05/02/14,Tesla,210.91
122,05/03/14,Tesla,
123,05/04/14,Tesla,
124,05/05/14,Tesla,216.61
125,05/06/14,Tesla,207.28
126,05/07/14,Tesla,201.35
127,05/08/14,Tesla,178.59
128,05/09/14,Tesla,182.26
129,05/10/14,Tesla,
130,05/11/14,Tesla,
131,05/12/14,Tesla,184.67
132,05/13/14,Tesla,190.16
133,05/14/14,Tesla,190.62
134,05/15/14,Tesla,188.59
135,05/16/14,Tesla,191.56
136,05/17/14,Tesla,
137,05/18/14,Tesla,
138,05/19/14,Tesla,196.09
139,05/20/14,Tesla,195.3
140,05/21/14,Tesla,199.45
141,05/22/14,Tesla,204.88
142,05/23/14,Tesla,207.3
143,05/24/14,Tesla,
144,05/25/14,Tesla,
145,05/26/14,Tesla,
146,05/27/14,Tesla,211.56
147,05/28/14,Tesla,210.24
148,05/29/14,Tesla,210.24
149,05/30/14,Tesla,207.77
150,05/31/14,Tesla,
151,06/01/14,Tesla,
152,06/02/14,Tesla,204.7
153,06/03/14,Tesla,204.94
154,06/04/14,Tesla,203.99
155,06/05/14,Tesla,206.9
156,06/06/14,Tesla,208.171
157,06/07/14,Tesla,
158,06/08/14,Tesla,
159,06/09/14,Tesla,205.31
160,06/10/14,Tesla,202.3
161,06/11/14,Tesla,204.47
162,06/12/14,Tesla,203.52
163,06/13/14,Tesla,206.42
164,06/14/14,Tesla,
165,06/15/14,Tesla,
166,06/16/14,Tesla,224.61
167,06/17/14,Tesla,231.67
168,06/18/14,Tesla,227.12
169,06/19/14,Tesla,227.79
170,06/20/14,Tesla,229.59
171,06/21/14,Tesla,
172,06/22/14,Tesla,
173,06/23/14,Tesla,237.22
174,06/24/14,Tesla,232.5
175,06/25/14,Tesla,236.891
176,06/26/14,Tesla,235.6
177,06/27/14,Tesla,239.06
178,06/28/14,Tesla,
179,06/29/14,Tesla,
180,06/30/14,Tesla,240.06
181,07/01/14,Tesla,239.72
182,07/02/14,Tesla,229.425
183,07/03/14,Tesla,229.25
184,07/04/14,Tesla,
185,07/05/14,Tesla,
186,07/06/14,Tesla,
187,07/07/14,Tesla,222.66
188,07/08/14,Tesla,219.07
189,07/09/14,Tesla,223.06
190,07/10/14,Tesla,219.46
191,07/11/14,Tesla,218.13
192,07/12/14,Tesla,
193,07/13/14,Tesla,
194,07/14/14,Tesla,226.7
195,07/15/14,Tesla,219.58
196,07/16/14,Tesla,217.16
197,07/17/14,Tesla,215.4
198,07/18/14,Tesla,220.0201
199,07/19/14,Tesla,
200,07/20/14,Tesla,
201,07/21/14,Tesla,220.54
202,07/22/14,Tesla,219.58
203,07/23/14,Tesla,222.49
204,07/24/14,Tesla,223.54
205,07/25/14,Tesla,223.57
206,07/26/14,Tesla,
207,07/27/14,Tesla,
208,07/28/14,Tesla,224.82
209,07/29/14,Tesla,225.01
210,07/30/14,Tesla,228.92
211,07/31/14,Tesla,223.3
212,08/01/14,Tesla,233.27
213,08/02/14,Tesla,
214,08/03/14,Tesla,
215,08/04/14,Tesla,238.52
216,08/05/14,Tesla,238.49
217,08/06/14,Tesla,248.9301
218,08/07/14,Tesla,252.39
219,08/08/14,Tesla,248.13
220,08/09/14,Tesla,
221,08/10/14,Tesla,
222,08/11/14,Tesla,259.32
223,08/12/14,Tesla,259.96
224,08/13/14,Tesla,260.31
225,08/14/14,Tesla,261.38
226,08/15/14,Tesla,262.01
227,08/16/14,Tesla,
228,08/17/14,Tesla,
229,08/18/14,Tesla,259.94
230,08/19/14,Tesla,256.76
231,08/20/14,Tesla,255.71
232,08/21/14,Tesla,254.34
233,08/22/14,Tesla,256.78
234,08/23/14,Tesla,
235,08/24/14,Tesla,
236,08/25/14,Tesla,262.55
237,08/26/14,Tesla,261.74
238,08/27/14,Tesla,263.25
239,08/28/14,Tesla,263.86
240,08/29/14,Tesla,269.7
241,08/30/14,Tesla,
242,08/31/14,Tesla,
243,09/01/14,Tesla,
244,09/02/14,Tesla,284.12
245,09/03/14,Tesla,281.19
246,09/04/14,Tesla,286.04
247,09/05/14,Tesla,277.39
248,09/06/14,Tesla,
249,09/07/14,Tesla,
250,09/08/14,Tesla,282.11
251,09/09/14,Tesla,278.48
252,09/10/14,Tesla,281.1
253,09/11/14,Tesla,280.31
254,09/12/14,Tesla,279.2
255,09/13/14,Tesla,
256,09/14/14,Tesla,
257,09/15/14,Tesla,253.86
258,09/16/14,Tesla,260.74
259,09/17/14,Tesla,261.38
260,09/18/14,Tesla,263.82
261,09/19/14,Tesla,259.32
262,09/20/14,Tesla,
263,09/21/14,Tesla,
264,09/22/14,Tesla,250.03
265,09/23/14,Tesla,250.41
266,09/24/14,Tesla,252.14
267,09/25/14,Tesla,246.95
268,09/26/14,Tesla,246.6
269,09/27/14,Tesla,
270,09/28/14,Tesla,
271,09/29/14,Tesla,245.26
272,09/30/14,Tesla,242.68
273,10/01/14,Tesla,240.24
274,10/02/14,Tesla,251.42
275,10/03/14,Tesla,255.21
276,10/04/14,Tesla,
277,10/05/14,Tesla,
278,10/06/14,Tesla,260.62
279,10/07/14,Tesla,259.57
280,10/08/14,Tesla,259.28
281,10/09/14,Tesla,257.01
282,10/10/14,Tesla,236.91
283,10/11/14,Tesla,
284,10/12/14,Tesla,
285,10/13/14,Tesla,224.59
286,10/14/14,Tesla,227.06
287,10/15/14,Tesla,229.7
288,10/16/14,Tesla,226.35
289,10/17/14,Tesla,227.48
290,10/18/14,Tesla,
291,10/19/14,Tesla,
292,10/20/14,Tesla,230.47
293,10/21/14,Tesla,235.34
294,10/22/14,Tesla,231.1
295,10/23/14,Tesla,235.29
296,10/24/14,Tesla,235.24
297,10/25/14,Tesla,
298,10/26/14,Tesla,
299,10/27/14,Tesla,221.67
300,10/28/14,Tesla,242.77
301,10/29/14,Tesla,238.1
302,10/30/14,Tesla,238.66
303,10/31/14,Tesla,241.7
304,11/01/14,Tesla,
305,11/02/14,Tesla,
306,11/03/14,Tesla,242.59
307,11/04/14,Tesla,238.93
308,11/05/14,Tesla,230.97
309,11/06/14,Tesla,241.22
310,11/07/14,Tesla,240.2
311,11/08/14,Tesla,
312,11/09/14,Tesla,
313,11/10/14,Tesla,241.93
314,11/11/14,Tesla,251.08
315,11/12/14,Tesla,249.1
316,11/13/14,Tesla,251.7
317,11/14/14,Tesla,258.68
318,11/15/14,Tesla,
319,11/16/14,Tesla,
320,11/17/14,Tesla,253.98
321,11/18/14,Tesla,257.7
322,11/19/14,Tesla,247.74
323,11/20/14,Tesla,248.71
324,11/21/14,Tesla,242.78
325,11/22/14,Tesla,
326,11/23/14,Tesla,
327,11/24/14,Tesla,246.72
328,11/25/14,Tesla,248.09
329,11/26/14,Tesla,248.44
330,11/27/14,Tesla,
331,11/28/14,Tesla,244.52
332,11/29/14,Tesla,
333,11/30/14,Tesla,
334,12/01/14,Tesla,231.64
335,12/02/14,Tesla,231.43
336,12/03/14,Tesla,229.3
337,12/04/14,Tesla,228.28
338,12/05/14,Tesla,223.71
339,12/06/14,Tesla,
340,12/07/14,Tesla,
341,12/08/14,Tesla,214.36
342,12/09/14,Tesla,216.89
343,12/10/14,Tesla,209.84
344,12/11/14,Tesla,208.88
345,12/12/14,Tesla,207.0
346,12/13/14,Tesla,
347,12/14/14,Tesla,
348,12/15/14,Tesla,204.04
349,12/16/14,Tesla,197.81
350,12/17/14,Tesla,205.82
351,12/18/14,Tesla,218.26
352,12/19/14,Tesla,219.29
353,12/20/14,Tesla,
354,12/21/14,Tesla,
355,12/22/14,Tesla,222.6
356,12/23/14,Tesla,220.97
357,12/24/14,Tesla,222.26
358,12/25/14,Tesla,
359,12/26/14,Tesla,227.82
360,12/27/14,Tesla,
361,12/28/14,Tesla,
362,12/29/14,Tesla,225.71
363,12/30/14,Tesla,222.23
364,12/31/14,Tesla,222.41
365,01/01/15,Tesla,
366,01/02/15,Tesla,219.31
367,01/03/15,Tesla,
368,01/04/15,Tesla,
369,01/05/15,Tesla,210.09
370,01/06/15,Tesla,211.28
371,01/07/15,Tesla,210.95
372,01/08/15,Tesla,210.615
373,01/09/15,Tesla,206.66
374,01/10/15,Tesla,
375,01/11/15,Tesla,
376,01/12/15,Tesla,202.21
377,01/13/15,Tesla,204.25
378,01/14/15,Tesla,192.69
379,01/15/15,Tesla,191.87
380,01/16/15,Tesla,193.07
381,01/17/15,Tesla,
382,01/18/15,Tesla,
383,01/19/15,Tesla,
384,01/20/15,Tesla,191.93
385,01/21/15,Tesla,196.57
386,01/22/15,Tesla,201.62
387,01/23/15,Tesla,201.29
388,01/24/15,Tesla,
389,01/25/15,Tesla,
390,01/26/15,Tesla,206.55
391,01/27/15,Tesla,205.98
392,01/28/15,Tesla,199.37
393,01/29/15,Tesla,205.2
394,01/30/15,Tesla,203.6
395,01/31/15,Tesla,
396,02/01/15,Tesla,
397,02/02/15,Tesla,210.94
398,02/03/15,Tesla,218.36
399,02/04/15,Tesla,218.55
400,02/05/15,Tesla,220.99
401,02/06/15,Tesla,217.36
402,02/07/15,Tesla,
403,02/08/15,Tesla,
404,02/09/15,Tesla,217.48
405,02/10/15,Tesla,216.29
406,02/11/15,Tesla,212.8
407,02/12/15,Tesla,202.88
408,02/13/15,Tesla,203.77
409,02/14/15,Tesla,
410,02/15/15,Tesla,
411,02/16/15,Tesla,
412,02/17/15,Tesla,204.35
413,02/18/15,Tesla,204.46
414,02/19/15,Tesla,211.705
415,02/20/15,Tesla,217.11
416,02/21/15,Tesla,
417,02/22/15,Tesla,
418,02/23/15,Tesla,207.335
419,02/24/15,Tesla,204.11
420,02/25/15,Tesla,203.76
421,02/26/15,Tesla,207.19
422,02/27/15,Tesla,203.34
423,02/28/15,Tesla,
424,03/01/15,Tesla,
425,03/02/15,Tesla,197.325
426,03/03/15,Tesla,199.56
427,03/04/15,Tesla,202.435
428,03/05/15,Tesla,200.63
429,03/06/15,Tesla,193.88
430,03/07/15,Tesla,
431,03/08/15,Tesla,
432,03/09/15,Tesla,190.88
433,03/10/15,Tesla,190.32
434,03/11/15,Tesla,193.74
435,03/12/15,Tesla,191.07
436,03/13/15,Tesla,188.68
437,03/14/15,Tesla,
438,03/15/15,Tesla,
439,03/16/15,Tesla,195.7
440,03/17/15,Tesla,194.73
441,03/18/15,Tesla,200.71
442,03/19/15,Tesla,195.65
443,03/20/15,Tesla,198.08
444,03/21/15,Tesla,
445,03/22/15,Tesla,
446,03/23/15,Tesla,199.63
447,03/24/15,Tesla,201.72
448,03/25/15,Tesla,194.3
449,03/26/15,Tesla,190.405
450,03/27/15,Tesla,185.0
451,03/28/15,Tesla,
452,03/29/15,Tesla,
453,03/30/15,Tesla,190.57
454,03/31/15,Tesla,188.77
455,04/01/15,Tesla,187.59
456,04/02/15,Tesla,191.0
457,04/03/15,Tesla,
458,04/04/15,Tesla,
459,04/05/15,Tesla,
460,04/06/15,Tesla,203.1
461,04/07/15,Tesla,203.25
462,04/08/15,Tesla,207.67
463,04/09/15,Tesla,210.09
464,04/10/15,Tesla,210.9
465,04/11/15,Tesla,
466,04/12/15,Tesla,
467,04/13/15,Tesla,209.78
468,04/14/15,Tesla,207.46
469,04/15/15,Tesla,207.83
470,04/16/15,Tesla,206.7
471,04/17/15,Tesla,206.79
472,04/18/15,Tesla,
473,04/19/15,Tesla,
474,04/20/15,Tesla,205.27
475,04/21/15,Tesla,209.41
476,04/22/15,Tesla,219.44
477,04/23/15,Tesla,218.6
478,04/24/15,Tesla,218.425
479,04/25/15,Tesla,
480,04/26/15,Tesla,
481,04/27/15,Tesla,231.55
482,04/28/15,Tesla,230.48
483,04/29/15,Tesla,232.45
484,04/30/15,Tesla,226.05
485,05/01/15,Tesla,226.03
486,05/02/15,Tesla,
487,05/03/15,Tesla,
488,05/04/15,Tesla,230.51
489,05/05/15,Tesla,232.95
490,05/06/15,Tesla,230.43
491,05/07/15,Tesla,236.8
492,05/08/15,Tesla,236.61
493,05/09/15,Tesla,
494,05/10/15,Tesla,
495,05/11/15,Tesla,239.49
496,05/12/15,Tesla,244.74
497,05/13/15,Tesla,243.18
498,05/14/15,Tesla,244.1
499,05/15/15,Tesla,248.84
500,05/16/15,Tesla,
501,05/17/15,Tesla,
502,05/18/15,Tesla,248.75
503,05/19/15,Tesla,247.14
504,05/20/15,Tesla,244.35
505,05/21/15,Tesla,245.62
506,05/22/15,Tesla,247.73
507,05/23/15,Tesla,
508,05/24/15,Tesla,
509,05/25/15,Tesla,
510,05/26/15,Tesla,247.455
511,05/27/15,Tesla,247.43
512,05/28/15,Tesla,251.45
513,05/29/15,Tesla,250.8
514,05/30/15,Tesla,
515,05/31/15,Tesla,
516,06/01/15,Tesla,249.45
517,06/02/15,Tesla,248.35
518,06/03/15,Tesla,248.99
519,06/04/15,Tesla,245.92
520,06/05/15,Tesla,249.14
521,06/06/15,Tesla,
522,06/07/15,Tesla,
523,06/08/15,Tesla,256.29
524,06/09/15,Tesla,256.0
525,06/10/15,Tesla,250.7
526,06/11/15,Tesla,251.41
527,06/12/15,Tesla,250.69
528,06/13/15,Tesla,
529,06/14/15,Tesla,
530,06/15/15,Tesla,250.38
531,06/16/15,Tesla,253.12
532,06/17/15,Tesla,260.41
533,06/18/15,Tesla,261.89
534,06/19/15,Tesla,262.51
535,06/20/15,Tesla,
536,06/21/15,Tesla,
537,06/22/15,Tesla,259.79
538,06/23/15,Tesla,267.67
539,06/24/15,Tesla,265.17
540,06/25/15,Tesla,268.79
541,06/26/15,Tesla,267.09
542,06/27/15,Tesla,
543,06/28/15,Tesla,
544,06/29/15,Tesla,262.02
545,06/30/15,Tesla,268.26
546,07/01/15,Tesla,269.15
547,07/02/15,Tesla,280.02
548,07/03/15,Tesla,
549,07/04/15,Tesla,
550,07/05/15,Tesla,
551,07/06/15,Tesla,279.72
552,07/07/15,Tesla,267.88
553,07/08/15,Tesla,254.96
554,07/09/15,Tesla,257.92
555,07/10/15,Tesla,259.15
